,path,class,image_id,label_gran_3,label_gran_5,label_gran_7,label_gran_10,label_gran_15,label_gran_20,label_gran_25,label_gran_30,label_gran_50,label_gran_70,label_gran_100,label_gran_150,label_gran_200,label_gran_300
1,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,2,5,27,15,611,712,1839,2399,2700,2418,510,1148,3837,5340,915
3,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,4,7,6,104,24,1107,604,1654,4162,5727,5657,3176,4349,4583,2807
4,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,5,2,18,76,646,1713,1532,3530,4105,2259,4874,3963,2318,5865,3541
6,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,7,7,13,97,542,261,78,975,3758,4507,4761,4490,4786,1302,5250
7,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,8,7,13,25,430,2007,758,2679,3603,3001,311,5582,4510,4107,1620
8,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,9,1,11,70,166,1928,1259,676,1761,1075,1981,3448,2806,5311,5971
10,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,11,2,31,121,532,1059,553,3688,4889,3428,1797,5727,5641,3600,5533
14,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,15,1,12,60,623,294,70,4171,2300,4862,4216,5503,4781,3512,2793
17,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,18,7,13,97,542,1557,2709,1514,3662,560,2569,5352,4428,227,1726
19,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,20,7,6,9,182,752,4124,2962,2306,106,2446,5868,5714,469,605
20,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,21,2,18,77,674,1593,4167,2768,4446,3305,810,405,269,4727,3137
22,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,23,7,13,97,542,261,3317,4278,690,1396,2585,3997,3668,2053,2133
29,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,1,30,2,1,40,612,1486,1232,1213,2128,2283,4332,4617,4896,2904,4835
30,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,31,2,18,57,677,2192,2379,4167,1974,5600,4031,1385,2633,2914,2838
31,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,32,7,13,97,542,261,78,5149,150,154,2750,2046,81,4116,4575
34,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,1,35,2,18,76,630,1649,632,1003,1818,42,3553,3861,669,4661,962
35,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,1,36,5,27,15,56,1913,2866,847,1207,5135,5855,2192,2797,1595,3665
36,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,1,37,2,18,57,677,2192,2379,4167,4951,1564,5195,4366,4656,5268,5353
39,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,1,40,2,18,57,677,2192,2379,2225,2409,4015,5172,2594,1014,107,788
40,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,1,41,2,18,57,677,2192,3654,286,463,228,2295,2009,2062,3072,3258
41,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,1,42,1,17,115,244,1852,4060,4788,3150,1732,3215,1937,3218,4964,3635
