,path,class,label_gran_3,label_gran_5,label_gran_7,label_gran_10,label_gran_20,label_gran_30,label_gran_50,label_gran_70,label_gran_90,label_gran_110,label_gran_130,label_gran_150,label_gran_13,label_gran_15
34021,Shoes/Sneakers and Athletic Shoes/Dolce & Gabbana/8014403.585.jpg,0,0,18,26,311,4845,8425,11754,12642,12930,13012,13023,13023,385,1735
18675,Boots/Ankle/Keen/7892181.326309.jpg,1,2,5,23,43,2640,5307,6917,7324,7456,7497,7504,7504,882,301
37333,Shoes/Sneakers and Athletic Shoes/Nike/8026366.2446.jpg,0,7,14,19,98,921,1142,1327,1375,1399,1404,1405,1405,1267,121
43590,Boots/Mid-Calf/Madden Girl/8060924.2084.jpg,4,4,15,22,129,4517,9968,14339,15585,15963,16069,16082,16082,327,1791
35554,Shoes/Heels/Christin Michaels/8020286.9.jpg,2,4,15,20,26,1133,3075,12183,13126,13433,13518,13529,13529,1079,69
13971,Shoes/Sneakers and Athletic Shoes/Stride Rite/7814097.53739.jpg,0,5,11,28,143,756,3863,5326,5600,5687,5716,5723,5723,66,611
8719,Boots/Ankle/Frye/7658538.216.jpg,1,1,4,18,38,104,112,115,3470,3520,3538,3540,3540,1396,1
45169,Boots/Mid-Calf/Polo Ralph Lauren/8073091.389842.jpg,4,1,1,56,106,1417,10173,14724,16017,16420,16531,16544,16544,597,367
49023,Shoes/Boat Shoes/SKECHERS/8115664.401.jpg,11,0,31,78,381,5415,9764,13991,15193,15562,15667,15680,15680,977,1403
10743,Shoes/Sneakers and Athletic Shoes/Montrail/7729366.144.jpg,0,5,11,15,18,2274,3335,4165,4368,4434,4455,4461,4461,1446,425
15131,Shoes/Sneakers and Athletic Shoes/Nike/7831843.14927.jpg,0,7,14,52,87,2115,3093,3860,4050,4110,4130,4135,4135,582,951
33935,Shoes/Clogs and Mules/Alegria/8014098.367721.jpg,9,3,9,49,180,2059,3007,11731,12617,12904,12986,12997,12997,1071,781
38354,Boots/Mid-Calf/VOLATILE/8030344.385.jpg,4,6,27,59,222,844,7966,11798,12694,14323,14416,14429,14429,733,1351
35015,Slippers/Slipper Flats/Favorite Characters/8018173.767.jpg,10,7,26,93,310,4476,8602,12025,12953,13256,13339,13350,13350,171,205
46236,Sandals/Flat/Giuseppe Zanotti/8080742.392822.jpg,3,2,5,6,66,537,5842,7683,8152,8309,8354,8361,8361,811,18
30627,Boots/Ankle/Robeez/7998636.363544.jpg,1,1,17,36,343,4526,7740,10673,11448,11692,11770,11781,11781,102,2510
32209,Shoes/Heels/Geox/8004642.3.jpg,2,3,9,13,333,1050,8078,11205,12027,12295,12375,12386,12386,1337,2499
24402,Boots/Ankle/Frye/7970247.364850.jpg,1,6,27,59,253,568,6526,8781,9378,9567,9637,9648,9648,809,1212
7164,Shoes/Sneakers and Athletic Shoes/adidas Originals/7600107.151.jpg,0,3,6,24,30,1613,2252,2726,2847,2888,2902,2903,2903,390,495
2495,Shoes/Oxfords/Kid Express/7284429.329.jpg,8,7,23,43,200,721,860,979,1006,1021,1025,1025,1025,673,509
11984,Shoes/Heels/Gabriella Rocha/7765186.106.jpg,2,4,25,47,221,579,2883,3585,3757,3811,3829,3833,3833,148,2180
29845,Shoes/Sneakers and Athletic Shoes/Orthaheel/7996345.11.jpg,0,4,25,64,260,866,1064,10397,11145,11373,11450,11461,11461,1154,1775
45285,Shoes/Sneakers and Athletic Shoes/Mephisto/8073849.33340.jpg,0,7,26,51,259,4913,8560,14751,16046,16449,16560,16573,16573,310,1221
1578,Boots/Ankle/SKECHERS/7208970.1232.jpg,1,1,4,18,22,23,24,25,657,665,668,668,668,579,1067
44551,Shoes/Heels/Rebecca Minkoff/8068489.387403.jpg,2,3,6,7,10,1025,1299,1519,1576,1601,1607,1608,1608,1005,1432
6925,Shoes/Sneakers and Athletic Shoes/Element/7592168.188267.jpg,0,7,14,19,98,138,2197,2657,2775,2815,2829,2830,2830,1267,1567
22658,Shoes/Heels/Madden Girl/7946245.89.jpg,2,6,24,44,205,1245,3945,8182,8721,8895,8956,8967,8967,701,655
24788,Shoes/Sneakers and Athletic Shoes/Nike/7971586.288853.jpg,0,1,4,18,22,2250,3300,8856,9459,9649,9720,9731,9731,1004,1033
45997,Shoes/Heels/Clarks/8078793.72.jpg,2,6,16,48,81,154,2998,14929,16236,16644,16756,16769,16769,1363,1413
6135,Shoes/Sneakers and Athletic Shoes/SKECHERS/7555060.6.jpg,0,0,8,30,41,43,142,148,149,154,156,156,156,1493,41
4182,Shoes/Sneakers and Athletic Shoes/Circa/7420528.292889.jpg,0,7,14,19,98,378,424,1511,1568,1593,1599,1600,1600,696,1866
