,label_gran_14,label_gran_13,label_gran_12,label_gran_11,label_gran_10,label_gran_9,label_gran_8,label_gran_7,label_gran_6,label_gran_5,label_gran_4,label_gran_3,label_gran_2,label_gran_1,label_gran_0,class,path
0,8444,4222,2111,1055,527,263,131,65,32,16,8,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Dolce & Gabbana/8014403.585.jpg
1,12510,6255,3128,1564,782,391,196,98,49,24,12,6,3,2,1,1,Boots/Ankle/Keen/7892181.326309.jpg
2,3114,1557,778,389,194,97,48,24,12,6,3,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Nike/8026366.2446.jpg
3,23835,11919,5960,2981,1492,746,374,188,95,48,24,13,7,5,4,4,Boots/Mid-Calf/Madden Girl/8060924.2084.jpg
4,16520,8260,4130,2065,1033,517,259,130,66,33,17,9,5,3,2,2,Shoes/Heels/Christin Michaels/8020286.9.jpg
5,5905,2952,1476,738,369,184,92,46,23,11,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Stride Rite/7814097.53739.jpg
6,9217,4608,2304,1152,576,288,144,72,36,18,9,5,3,2,1,1,Boots/Ankle/Frye/7658538.216.jpg
7,21415,10709,5355,2679,1341,671,336,169,86,43,22,12,7,5,4,4,Boots/Mid-Calf/Polo Ralph Lauren/8073091.389842.jpg
8,34313,17160,8582,4294,2150,1077,541,272,138,70,37,21,14,12,11,11,Shoes/Boat Shoes/SKECHERS/8115664.401.jpg
9,5530,2765,1382,691,345,172,86,43,21,10,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/Montrail/7729366.144.jpg
10,3908,1954,977,488,244,122,61,30,15,7,3,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Nike/7831843.14927.jpg
11,32605,16306,8154,4079,2042,1023,514,259,131,67,35,19,12,10,9,9,Shoes/Clogs and Mules/Alegria/8014098.367721.jpg
12,23000,11501,5751,2877,1440,720,361,182,92,46,23,12,7,5,4,4,Boots/Mid-Calf/VOLATILE/8030344.385.jpg
13,33515,16761,8382,4194,2100,1052,528,266,134,68,36,20,13,11,10,10,Slippers/Slipper Flats/Favorite Characters/8018173.767.jpg
14,20454,10228,5114,2558,1280,640,320,161,81,41,21,11,6,4,3,3,Sandals/Flat/Giuseppe Zanotti/8080742.392822.jpg
15,10131,5065,2533,1267,633,316,158,79,40,20,10,5,3,2,1,1,Boots/Ankle/Robeez/7998636.363544.jpg
16,13274,6637,3319,1660,830,415,208,105,53,27,14,8,5,3,2,2,Shoes/Heels/Geox/8004642.3.jpg
17,12552,6276,3138,1569,784,392,196,98,49,24,12,6,3,2,1,1,Boots/Ankle/Frye/7970247.364850.jpg
18,5510,2755,1377,688,344,172,86,43,21,10,5,2,1,0,0,0,Shoes/Sneakers and Athletic Shoes/adidas Originals/7600107.151.jpg
19,31647,15826,7914,3959,1982,992,498,250,126,64,33,18,11,9,8,8,Shoes/Oxfords/Kid Express/7284429.329.jpg
20,14184,7092,3546,1773,887,444,222,112,57,29,15,8,5,3,2,2,Shoes/Heels/Gabriella Rocha/7765186.106.jpg
21,2674,1337,668,334,167,83,41,20,10,5,2,1,0,0,0,0,Shoes/Sneakers and Athletic Shoes/Orthaheel/7996345.11.jpg
