,label_gran_0,label_gran_1,label_gran_2,label_gran_3,label_gran_4,label_gran_5,class,path
0,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Dolce & Gabbana/8014403.585.jpg
1,3,1,0,0,0,0,1,Boots/Ankle/Keen/7892181.326309.jpg
2,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike/8026366.2446.jpg
3,10,5,2,1,0,0,4,Boots/Mid-Calf/Madden Girl/8060924.2084.jpg
4,11,5,2,1,0,0,2,Shoes/Heels/Christin Michaels/8020286.9.jpg
5,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Stride Rite/7814097.53739.jpg
6,3,1,0,0,0,0,1,Boots/Ankle/Frye/7658538.216.jpg
7,10,5,2,1,0,0,4,Boots/Mid-Calf/Polo Ralph Lauren/8073091.389842.jpg
8,4,2,1,0,0,0,11,Shoes/Boat Shoes/SKECHERS/8115664.401.jpg
9,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Montrail/7729366.144.jpg
10,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike/7831843.14927.jpg
11,14,7,3,1,0,0,9,Shoes/Clogs and Mules/Alegria/8014098.367721.jpg
12,10,5,2,1,0,0,4,Boots/Mid-Calf/VOLATILE/8030344.385.jpg
13,5,2,1,0,0,0,10,Slippers/Slipper Flats/Favorite Characters/8018173.767.jpg
14,17,8,4,2,1,0,3,Sandals/Flat/Giuseppe Zanotti/8080742.392822.jpg
15,3,1,0,0,0,0,1,Boots/Ankle/Robeez/7998636.363544.jpg
16,11,5,2,1,0,0,2,Shoes/Heels/Geox/8004642.3.jpg
17,3,1,0,0,0,0,1,Boots/Ankle/Frye/7970247.364850.jpg
18,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/adidas Originals/7600107.151.jpg
19,0,0,0,0,0,0,8,Shoes/Oxfords/Kid Express/7284429.329.jpg
20,11,5,2,1,0,0,2,Shoes/Heels/Gabriella Rocha/7765186.106.jpg
21,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Orthaheel/7996345.11.jpg
22,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Mephisto/8073849.33340.jpg
23,3,1,0,0,0,0,1,Boots/Ankle/SKECHERS/7208970.1232.jpg
24,11,5,2,1,0,0,2,Shoes/Heels/Rebecca Minkoff/8068489.387403.jpg
25,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Element/7592168.188267.jpg
26,11,5,2,1,0,0,2,Shoes/Heels/Madden Girl/7946245.89.jpg
27,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Nike/7971586.288853.jpg
28,11,5,2,1,0,0,2,Shoes/Heels/Clarks/8078793.72.jpg
29,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/SKECHERS/7555060.6.jpg
30,18,9,4,2,1,0,0,Shoes/Sneakers and Athletic Shoes/Circa/7420528.292889.jpg
31,11,5,2,1,0,0,2,Shoes/Heels/Lilly Pulitzer/8023083.199663.jpg
32,10,5,2,1,0,0,4,Boots/Mid-Calf/Fergie/8028780.3.jpg
33,14,7,3,1,0,0,9,Shoes/Clogs and Mules/Wolky/7849440.330593.jpg
34,15,7,3,1,0,0,7,Boots/Knee High/Fitzwell/8024147.60.jpg
35,12,6,3,1,0,0,5,Shoes/Flats/Nina Kids/8016211.128268.jpg
36,3,1,0,0,0,0,1,Boots/Ankle/UGG/8041795.42313.jpg
37,11,5,2,1,0,0,2,Shoes/Heels/Truth or Dare By Madonna/8129494.408557.jpg
38,10,5,2,1,0,0,4,Boots/Mid-Calf/Dr. Martens/108237.1670.jpg
39,17,8,4,2,1,0,3,Sandals/Flat/Softspots/7517582.728.jpg
40,16,8,4,2,1,0,17,Slippers/Boot/Baffin/7486138.9.jpg
41,8,4,2,1,0,0,6,Shoes/Loafers/Bass/8046244.38872.jpg
42,3,1,0,0,0,0,1,Boots/Ankle/Frye/7154095.236045.jpg
