,label_gran_1,label_gran_2,label_gran_3,label_gran_4,label_gran_5,label_gran_6,label_gran_7,label_gran_8,label_gran_9,label_gran_10,label_gran_11,label_gran_12,label_gran_13,label_gran_14,class,path
0,1,3,6,12,25,50,99,186,302,476,653,787,1002,1056,0,train/0--Parade/0_Parade_marchingband_1_100.jpg
1,0,0,1,2,4,8,16,32,52,87,126,163,232,239,0,train/0--Parade/0_Parade_marchingband_1_1015.jpg
2,0,1,2,4,9,18,36,71,114,193,269,333,453,474,0,train/0--Parade/0_Parade_marchingband_1_1018.jpg
3,1,2,4,8,17,34,67,127,206,334,463,555,712,751,0,train/0--Parade/0_Parade_marchingband_1_1022.jpg
4,1,2,5,11,23,47,93,175,286,453,618,743,947,990,0,train/0--Parade/0_Parade_marchingband_1_1030.jpg
5,0,1,2,4,9,18,36,71,114,193,268,331,449,468,0,train/0--Parade/0_Parade_marchingband_1_1046.jpg
6,1,3,6,12,25,50,99,186,302,477,654,789,1004,1059,0,train/0--Parade/0_Parade_marchingband_1_1047.jpg
7,1,2,4,8,17,34,67,127,206,334,463,555,712,751,0,train/0--Parade/0_Parade_marchingband_1_108.jpg
8,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_112.jpg
9,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_114.jpg
10,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_116.jpg
11,1,2,5,11,22,45,89,167,270,426,578,693,879,922,0,train/0--Parade/0_Parade_marchingband_1_117.jpg
12,1,3,6,12,25,50,99,186,302,476,652,785,998,1050,0,train/0--Parade/0_Parade_marchingband_1_12.jpg
13,0,1,2,5,11,22,44,85,137,229,320,394,530,558,0,train/0--Parade/0_Parade_marchingband_1_122.jpg
14,1,3,6,13,27,54,106,197,318,500,686,825,1047,1114,0,train/0--Parade/0_Parade_marchingband_1_126.jpg
15,1,3,6,12,25,50,99,186,302,476,652,785,998,1050,0,train/0--Parade/0_Parade_marchingband_1_127.jpg
16,0,1,2,4,9,18,36,71,114,193,269,333,453,474,0,train/0--Parade/0_Parade_marchingband_1_13.jpg
17,1,3,6,12,25,50,99,186,302,476,652,785,998,1050,0,train/0--Parade/0_Parade_marchingband_1_131.jpg
18,1,3,6,12,25,50,99,186,302,476,652,785,999,1051,0,train/0--Parade/0_Parade_marchingband_1_134.jpg
19,0,1,2,5,11,23,46,89,145,241,339,420,563,595,0,train/0--Parade/0_Parade_marchingband_1_137.jpg
20,0,1,2,4,9,18,36,71,114,194,270,335,455,477,0,train/0--Parade/0_Parade_marchingband_1_140.jpg
21,1,2,5,11,23,46,92,174,283,447,609,728,926,969,0,train/0--Parade/0_Parade_marchingband_1_146.jpg
22,1,3,7,14,28,56,110,204,330,521,719,866,1096,1172,0,train/0--Parade/0_Parade_marchingband_1_151.jpg
23,0,0,0,0,1,2,4,9,14,23,32,40,61,62,0,train/0--Parade/0_Parade_marchingband_1_160.jpg
24,1,3,7,14,29,58,112,208,338,533,738,887,1119,1200,0,train/0--Parade/0_Parade_marchingband_1_163.jpg
25,1,2,4,9,19,38,75,141,227,362,496,593,758,798,0,train/0--Parade/0_Parade_marchingband_1_166.jpg
26,0,0,0,0,0,0,1,2,4,8,13,19,28,29,0,train/0--Parade/0_Parade_marchingband_1_17.jpg
27,0,1,2,4,9,18,36,71,114,193,268,331,450,470,0,train/0--Parade/0_Parade_marchingband_1_173.jpg
28,1,3,6,12,25,50,99,186,302,476,653,788,1003,1058,0,train/0--Parade/0_Parade_marchingband_1_175.jpg
29,0,1,2,4,9,18,36,71,114,193,268,332,451,472,0,train/0--Parade/0_Parade_marchingband_1_185.jpg
